,Participant_ID,Run,Accuracy,RT (s),count_resp-1,count_resp-2,count_resp-3,count_resp-4
0,sub-FLT02,run-01,0.3333333333333333,1.4255068722221849,4,[0],8,13
1,sub-FLT04,run-01,0.3333333333333333,1.3000017333258358,18,12,8,7
2,sub-FLT06,run-01,0.2558139534883721,1.1895867511521765,13,6,11,13
3,sub-FLT09,run-01,0.28888888888888886,1.3415438000002824,13,16,10,6
4,sub-FLT11,run-01,0.21739130434782608,1.2816591261045844,9,13,11,13
5,sub-FLT12,run-01,0.9333333333333333,1.1667941977776435,11,10,13,11
6,sub-FLT13,run-01,0.3409090909090909,1.268605554545502,19,10,6,9
7,sub-FLT14,run-01,0.7333333333333333,1.163929359997726,12,18,10,5
8,sub-FLT20,run-01,0.34782608695652173,0.9863375673913929,7,26,8,5
9,sub-FLT25,run-01,0.2619047619047619,1.2943851071509667,9,14,15,4
10,sub-FLT28,run-01,0.2558139534883721,1.2627617162792757,11,11,11,9
11,sub-FLT30,run-01,0.25,1.2008719840933653,17,10,9,8
0,sub-FLT02,run-02,0.8604651162790697,1.707887483720866,10,12,10,11
1,sub-FLT04,run-02,0.5,1.3100601695629808,17,8,13,8
2,sub-FLT06,run-02,0.4444444444444444,1.0935803333349112,15,10,13,7
3,sub-FLT09,run-02,0.7446808510638298,1.0992445851068702,12,10,10,15
4,sub-FLT11,run-02,0.48936170212765956,1.0008123659459438,13,14,14,6
5,sub-FLT12,run-02,0.851063829787234,1.080014908510651,12,16,8,11
6,sub-FLT13,run-02,0.4375,0.9098171791674758,24,5,13,6
7,sub-FLT14,run-02,0.875,1.0454008729138877,12,16,9,11
8,sub-FLT20,run-02,0.7916666666666666,1.2180266229167198,12,12,11,13
9,sub-FLT25,run-02,0.3191489361702128,1.154311478737385,7,13,21,6
10,sub-FLT28,run-02,0.6,1.4156575111112033,8,9,16,12
11,sub-FLT30,run-02,0.723404255319149,1.2023171616998065,8,9,17,13
0,sub-FLT02,run-03,0.8636363636363636,1.1390269681814145,12,13,12,7
1,sub-FLT04,run-03,0.6170212765957447,1.2743569042464282,16,11,11,9
2,sub-FLT06,run-03,0.5416666666666666,1.0454336312492767,17,11,13,7
3,sub-FLT09,run-03,0.7021276595744681,1.1007345361703824,17,10,10,10
4,sub-FLT11,run-03,0.6808510638297872,1.1472927510460957,14,17,10,6
5,sub-FLT12,run-03,0.8958333333333334,1.1535024083332626,12,13,12,11
6,sub-FLT13,run-03,0.425531914893617,0.9762377425535345,19,10,8,10
7,sub-FLT14,run-03,0.9574468085106383,1.1801635978713712,12,14,9,12
8,sub-FLT20,run-03,0.9787234042553191,1.160482823404117,12,11,12,12
9,sub-FLT25,run-03,0.391304347826087,1.2356983260757735,10,19,13,4
10,sub-FLT28,run-03,0.5555555555555556,1.3214174533336416,11,14,10,10
11,sub-FLT30,run-03,0.8666666666666667,1.1170447933332375,11,12,12,10
0,sub-FLT02,run-04,0.8372093023255814,1.069345200000477,13,12,11,7
1,sub-FLT04,run-04,0.6382978723404256,1.2814126808315198,16,4,16,11
2,sub-FLT06,run-04,0.7708333333333334,1.0703959166712593,16,11,9,12
3,sub-FLT09,run-04,0.8723404255319149,1.0333264893613772,11,10,11,15
4,sub-FLT11,run-04,0.75,1.035795762494672,13,10,11,14
5,sub-FLT12,run-04,0.9375,1.0650693562498266,12,13,11,12
6,sub-FLT13,run-04,0.6458333333333334,1.1445227708341008,15,14,10,9
7,sub-FLT14,run-04,0.9302325581395349,1.160700720935237,10,10,11,12
8,sub-FLT20,run-04,0.9583333333333334,1.0820658999997097,13,11,12,12
9,sub-FLT25,run-04,0.40425531914893614,1.3212784446597574,14,13,11,9
10,sub-FLT28,run-04,0.5238095238095238,1.362554011904649,7,16,11,8
11,sub-FLT30,run-04,0.9361702127659575,1.0675775617004393,11,12,12,12
0,sub-FLT02,run-05,0.9148936170212766,1.045018861702432,12,12,12,11
1,sub-FLT04,run-05,0.5957446808510638,1.287745470195969,21,5,16,5
2,sub-FLT06,run-05,0.8085106382978723,1.0901664595684393,14,12,9,12
3,sub-FLT09,run-05,0.7916666666666666,1.0504503187494265,10,15,9,14
4,sub-FLT11,run-05,0.8936170212765957,1.0335666383121243,11,12,12,12
5,sub-FLT12,run-05,0.8936170212765957,1.098367529787093,12,13,11,11
6,sub-FLT13,run-05,0.8958333333333334,1.1164413395833133,12,14,10,12
7,sub-FLT14,run-05,0.9791666666666666,1.0094878354175307,12,13,11,12
8,sub-FLT20,run-05,0.9361702127659575,1.1084706255319459,14,12,10,11
9,sub-FLT25,run-05,0.2391304347826087,1.240246252166917,10,16,12,8
10,sub-FLT28,run-05,0.5581395348837209,1.3174682720929796,8,8,10,17
11,sub-FLT30,run-05,0.9361702127659575,1.0909542234024985,9,14,11,13
0,sub-FLT02,run-06,0.8936170212765957,1.0211352957446658,12,12,11,12
1,sub-FLT04,run-06,0.7291666666666666,1.3002660520675515,19,8,14,7
2,sub-FLT06,run-06,0.8958333333333334,1.036702875009117,12,13,9,14
3,sub-FLT09,run-06,0.8125,1.0996913020838595,16,11,11,10
4,sub-FLT11,run-06,0.8723404255319149,1.0137636872563274,9,11,11,16
5,sub-FLT12,run-06,0.9361702127659575,1.1167029957446852,12,12,11,12
6,sub-FLT13,run-06,0.8936170212765957,1.0876503936169877,13,12,9,13
7,sub-FLT14,run-06,0.9791666666666666,1.035729960413543,12,13,11,12
8,sub-FLT20,run-06,0.8478260869565217,1.0933416891302445,15,12,11,8
9,sub-FLT25,run-06,0.34782608695652173,1.2423822000045734,6,22,9,9
10,sub-FLT28,run-06,0.6222222222222222,1.2331093644442768,8,13,10,14
11,sub-FLT30,run-06,0.9791666666666666,1.0391435333282668,13,12,12,11
