,Participant_ID,Run,Accuracy,RT (s),count_resp-1,count_resp-2,count_resp-3,count_resp-4
0,sub-FLT03,run-01,0.9791666666666666,1.079320902072747,12,13,11,12
1,sub-FLT05,run-01,0.9375,0.939338354166542,12,15,9,12
2,sub-FLT08,run-01,1.0,1.0536330977920443,11,10,12,12
3,sub-FLT10,run-01,1.0,1.019177136381834,12,11,11,10
4,sub-FLT17,run-01,0.8913043478260869,0.9367883673909566,12,10,11,13
5,sub-FLT18,run-01,0.9777777777777777,0.8729059666666823,11,11,11,12
6,sub-FLT19,run-01,0.8913043478260869,1.0177157913045527,13,9,12,12
7,sub-FLT21,run-01,0.782608695652174,1.1226247239164482,12,14,7,12
8,sub-FLT22,run-01,1.0,0.8338054957452226,11,12,12,12
9,sub-FLT23,run-01,1.0,0.800547508333087,12,12,12,12
10,sub-FLT24,run-01,0.9523809523809523,1.1029736738058826,11,10,10,11
11,sub-FLT26,run-01,0.9555555555555556,1.0588187066682926,12,12,9,12
0,sub-FLT03,run-02,1.0,0.8961133468113444,12,12,12,11
1,sub-FLT05,run-02,0.9111111111111111,0.8360855844439357,12,15,8,10
2,sub-FLT08,run-02,0.9787234042553191,0.9103797723519358,12,11,13,11
3,sub-FLT10,run-02,1.0,1.0090468106147377,12,12,12,11
4,sub-FLT17,run-02,0.9583333333333334,0.8402958791557467,12,14,10,12
5,sub-FLT18,run-02,1.0,0.8767929400000463,12,11,11,11
6,sub-FLT19,run-02,0.9791666666666666,1.0829968229172664,12,13,11,12
7,sub-FLT21,run-02,0.9787234042553191,0.8835962021307266,12,13,10,12
8,sub-FLT22,run-02,1.0,0.7662827166668649,12,12,12,12
9,sub-FLT23,run-02,0.9791666666666666,0.8130759041666048,13,11,12,12
10,sub-FLT24,run-02,0.9148936170212766,1.0097185021410002,11,11,12,13
11,sub-FLT26,run-02,1.0,0.9948201999941375,12,12,12,12
0,sub-FLT03,run-03,0.9791666666666666,0.8252525874971374,13,11,12,12
1,sub-FLT05,run-03,0.9166666666666666,0.8976137791668558,12,15,10,11
2,sub-FLT08,run-03,1.0,0.7796904270799132,12,12,12,12
3,sub-FLT10,run-03,0.9791666666666666,0.8658628812506018,12,13,11,12
4,sub-FLT17,run-03,1.0,0.850766242580845,11,12,12,12
5,sub-FLT18,run-03,0.9777777777777777,0.9200283533326001,12,9,13,11
6,sub-FLT19,run-03,0.9787234042553191,0.933094299999945,12,11,12,12
7,sub-FLT21,run-03,0.9583333333333334,0.8486119979206705,12,14,10,12
8,sub-FLT22,run-03,1.0,0.7959057187489028,12,12,12,12
9,sub-FLT23,run-03,1.0,0.9226389673917963,12,12,11,11
10,sub-FLT24,run-03,0.9574468085106383,1.005144127656983,12,10,12,13
11,sub-FLT26,run-03,1.0,1.0448576520769468,12,12,12,12
0,sub-FLT03,run-04,1.0,0.8259119543439263,10,12,12,12
1,sub-FLT05,run-04,1.0,0.8658286479164872,12,12,12,12
2,sub-FLT08,run-04,1.0,0.7700598437319665,12,12,12,12
3,sub-FLT10,run-04,0.9787234042553191,0.9439942787371655,11,13,11,12
4,sub-FLT17,run-04,0.9583333333333334,0.8161937124920465,11,13,11,13
5,sub-FLT18,run-04,1.0,0.9193212088883027,11,11,11,12
6,sub-FLT19,run-04,1.0,0.962254972339848,12,11,12,12
7,sub-FLT21,run-04,1.0,0.8431129374876036,12,12,12,12
8,sub-FLT22,run-04,1.0,0.7500589312495928,12,12,12,12
9,sub-FLT23,run-04,0.9375,0.9565333624997644,12,12,11,13
10,sub-FLT24,run-04,0.9791666666666666,0.9956221770892929,13,11,12,12
11,sub-FLT26,run-04,1.0,1.0688356914894377,12,12,12,11
0,sub-FLT03,run-05,0.9333333333333333,0.9430890688698532,11,11,12,11
1,sub-FLT05,run-05,1.0,0.7937161791664948,12,12,12,12
2,sub-FLT08,run-05,1.0,0.7125765562571663,12,12,12,12
3,sub-FLT10,run-05,1.0,0.9470086645742413,12,12,12,12
4,sub-FLT17,run-05,0.9166666666666666,0.9234782874797626,11,11,12,14
5,sub-FLT18,run-05,1.0,0.8772747522730655,12,11,12,9
6,sub-FLT19,run-05,1.0,0.9096685062495453,12,12,12,12
7,sub-FLT21,run-05,0.9583333333333334,0.907772672920449,11,13,11,13
8,sub-FLT22,run-05,1.0,0.7536486148928042,12,12,11,12
9,sub-FLT23,run-05,1.0,0.8164315520834862,12,12,12,12
10,sub-FLT24,run-05,0.9791666666666666,0.9703467958315741,12,12,11,13
11,sub-FLT26,run-05,0.9777777777777777,1.121735053334851,13,10,12,10
0,sub-FLT03,run-06,1.0,0.9693285681688312,11,9,12,12
1,sub-FLT05,run-06,0.9375,0.7916386104169911,12,15,9,12
2,sub-FLT08,run-06,0.9791666666666666,0.7412605728992882,13,11,12,12
3,sub-FLT10,run-06,0.9791666666666666,0.891591308323162,12,12,11,13
4,sub-FLT17,run-06,0.9166666666666666,0.8441348125197692,13,11,12,12
5,sub-FLT18,run-06,1.0,0.923345716666366,12,12,12,12
6,sub-FLT19,run-06,0.9787234042553191,0.970617187233887,12,13,10,12
7,sub-FLT21,run-06,1.0,0.9156362191536167,12,12,12,11
8,sub-FLT22,run-06,1.0,0.7391030458329624,12,12,12,12
9,sub-FLT23,run-06,1.0,0.9138999021277104,12,11,12,12
10,sub-FLT24,run-06,1.0,1.0268276770924178,12,12,12,12
11,sub-FLT26,run-06,1.0,0.9564732893610354,12,11,12,12
