Participant_ID,Run,Accuracy,RT (s),count_resp-1,count_resp-2,count_resp-3,count_resp-4,Group
sub-FLT02,run-01,0.3333333333333333,1.4255068722221849,4,[0],8,13,non-Mandarin
sub-FLT02,run-02,0.8604651162790697,1.707887483720866,10,12,10,11,non-Mandarin
sub-FLT02,run-03,0.8636363636363636,1.1390269681814145,12,13,12,7,non-Mandarin
sub-FLT02,run-04,0.8372093023255814,1.069345200000477,13,12,11,7,non-Mandarin
sub-FLT02,run-05,0.9148936170212766,1.045018861702432,12,12,12,11,non-Mandarin
sub-FLT02,run-06,0.8936170212765957,1.0211352957446658,12,12,11,12,non-Mandarin
sub-FLT03,run-01,0.9791666666666666,1.079320902072747,12,13,11,12,Mandarin
sub-FLT03,run-02,1.0,0.8961133468113444,12,12,12,11,Mandarin
sub-FLT03,run-03,0.9791666666666666,0.8252525874971374,13,11,12,12,Mandarin
sub-FLT03,run-04,1.0,0.8259119543439263,10,12,12,12,Mandarin
sub-FLT03,run-05,0.9333333333333333,0.9430890688698532,11,11,12,11,Mandarin
sub-FLT03,run-06,1.0,0.9693285681688312,11,9,12,12,Mandarin
sub-FLT04,run-01,0.3333333333333333,1.3000017333258358,18,12,8,7,non-Mandarin
sub-FLT04,run-02,0.5,1.3100601695629808,17,8,13,8,non-Mandarin
sub-FLT04,run-03,0.6170212765957447,1.2743569042464282,16,11,11,9,non-Mandarin
sub-FLT04,run-04,0.6382978723404256,1.2814126808315198,16,4,16,11,non-Mandarin
sub-FLT04,run-05,0.5957446808510638,1.287745470195969,21,5,16,5,non-Mandarin
sub-FLT04,run-06,0.7291666666666666,1.3002660520675515,19,8,14,7,non-Mandarin
sub-FLT05,run-01,0.9375,0.939338354166542,12,15,9,12,Mandarin
sub-FLT05,run-02,0.9111111111111111,0.8360855844439357,12,15,8,10,Mandarin
sub-FLT05,run-03,0.9166666666666666,0.8976137791668558,12,15,10,11,Mandarin
sub-FLT05,run-04,1.0,0.8658286479164872,12,12,12,12,Mandarin
sub-FLT05,run-05,1.0,0.7937161791664948,12,12,12,12,Mandarin
sub-FLT05,run-06,0.9375,0.7916386104169911,12,15,9,12,Mandarin
sub-FLT06,run-01,0.2558139534883721,1.1895867511521765,13,6,11,13,non-Mandarin
sub-FLT06,run-02,0.4444444444444444,1.0935803333349112,15,10,13,7,non-Mandarin
sub-FLT06,run-03,0.5416666666666666,1.0454336312492767,17,11,13,7,non-Mandarin
sub-FLT06,run-04,0.7708333333333334,1.0703959166712593,16,11,9,12,non-Mandarin
sub-FLT06,run-05,0.8085106382978723,1.0901664595684393,14,12,9,12,non-Mandarin
sub-FLT06,run-06,0.8958333333333334,1.036702875009117,12,13,9,14,non-Mandarin
sub-FLT08,run-01,1.0,1.0536330977920443,11,10,12,12,Mandarin
sub-FLT08,run-02,0.9787234042553191,0.9103797723519358,12,11,13,11,Mandarin
sub-FLT08,run-03,1.0,0.7796904270799132,12,12,12,12,Mandarin
sub-FLT08,run-04,1.0,0.7700598437319665,12,12,12,12,Mandarin
sub-FLT08,run-05,1.0,0.7125765562571663,12,12,12,12,Mandarin
sub-FLT08,run-06,0.9791666666666666,0.7412605728992882,13,11,12,12,Mandarin
sub-FLT09,run-01,0.28888888888888886,1.3415438000002824,13,16,10,6,non-Mandarin
sub-FLT09,run-02,0.7446808510638298,1.0992445851068702,12,10,10,15,non-Mandarin
sub-FLT09,run-03,0.7021276595744681,1.1007345361703824,17,10,10,10,non-Mandarin
sub-FLT09,run-04,0.8723404255319149,1.0333264893613772,11,10,11,15,non-Mandarin
sub-FLT09,run-05,0.7916666666666666,1.0504503187494265,10,15,9,14,non-Mandarin
sub-FLT09,run-06,0.8125,1.0996913020838595,16,11,11,10,non-Mandarin
sub-FLT10,run-01,1.0,1.019177136381834,12,11,11,10,Mandarin
sub-FLT10,run-02,1.0,1.0090468106147377,12,12,12,11,Mandarin
sub-FLT10,run-03,0.9791666666666666,0.8658628812506018,12,13,11,12,Mandarin
sub-FLT10,run-04,0.9787234042553191,0.9439942787371655,11,13,11,12,Mandarin
sub-FLT10,run-05,1.0,0.9470086645742413,12,12,12,12,Mandarin
sub-FLT10,run-06,0.9791666666666666,0.891591308323162,12,12,11,13,Mandarin
sub-FLT11,run-01,0.21739130434782608,1.2816591261045844,9,13,11,13,non-Mandarin
sub-FLT11,run-02,0.48936170212765956,1.0008123659459438,13,14,14,6,non-Mandarin
sub-FLT11,run-03,0.6808510638297872,1.1472927510460957,14,17,10,6,non-Mandarin
sub-FLT11,run-04,0.75,1.035795762494672,13,10,11,14,non-Mandarin
sub-FLT11,run-05,0.8936170212765957,1.0335666383121243,11,12,12,12,non-Mandarin
sub-FLT11,run-06,0.8723404255319149,1.0137636872563274,9,11,11,16,non-Mandarin
sub-FLT12,run-01,0.9333333333333333,1.1667941977776435,11,10,13,11,non-Mandarin
sub-FLT12,run-02,0.851063829787234,1.080014908510651,12,16,8,11,non-Mandarin
sub-FLT12,run-03,0.8958333333333334,1.1535024083332626,12,13,12,11,non-Mandarin
sub-FLT12,run-04,0.9375,1.0650693562498266,12,13,11,12,non-Mandarin
sub-FLT12,run-05,0.8936170212765957,1.098367529787093,12,13,11,11,non-Mandarin
sub-FLT12,run-06,0.9361702127659575,1.1167029957446852,12,12,11,12,non-Mandarin
sub-FLT13,run-01,0.3409090909090909,1.268605554545502,19,10,6,9,non-Mandarin
sub-FLT13,run-02,0.4375,0.9098171791674758,24,5,13,6,non-Mandarin
sub-FLT13,run-03,0.425531914893617,0.9762377425535345,19,10,8,10,non-Mandarin
sub-FLT13,run-04,0.6458333333333334,1.1445227708341008,15,14,10,9,non-Mandarin
sub-FLT13,run-05,0.8958333333333334,1.1164413395833133,12,14,10,12,non-Mandarin
sub-FLT13,run-06,0.8936170212765957,1.0876503936169877,13,12,9,13,non-Mandarin
sub-FLT14,run-01,0.7333333333333333,1.163929359997726,12,18,10,5,non-Mandarin
sub-FLT14,run-02,0.875,1.0454008729138877,12,16,9,11,non-Mandarin
sub-FLT14,run-03,0.9574468085106383,1.1801635978713712,12,14,9,12,non-Mandarin
sub-FLT14,run-04,0.9302325581395349,1.160700720935237,10,10,11,12,non-Mandarin
sub-FLT14,run-05,0.9791666666666666,1.0094878354175307,12,13,11,12,non-Mandarin
sub-FLT14,run-06,0.9791666666666666,1.035729960413543,12,13,11,12,non-Mandarin
sub-FLT17,run-01,0.8913043478260869,0.9367883673909566,12,10,11,13,Mandarin
sub-FLT17,run-02,0.9583333333333334,0.8402958791557467,12,14,10,12,Mandarin
sub-FLT17,run-03,1.0,0.850766242580845,11,12,12,12,Mandarin
sub-FLT17,run-04,0.9583333333333334,0.8161937124920465,11,13,11,13,Mandarin
sub-FLT17,run-05,0.9166666666666666,0.9234782874797626,11,11,12,14,Mandarin
sub-FLT17,run-06,0.9166666666666666,0.8441348125197692,13,11,12,12,Mandarin
sub-FLT18,run-01,0.9777777777777777,0.8729059666666823,11,11,11,12,Mandarin
sub-FLT18,run-02,1.0,0.8767929400000463,12,11,11,11,Mandarin
sub-FLT18,run-03,0.9777777777777777,0.9200283533326001,12,9,13,11,Mandarin
sub-FLT18,run-04,1.0,0.9193212088883027,11,11,11,12,Mandarin
sub-FLT18,run-05,1.0,0.8772747522730655,12,11,12,9,Mandarin
sub-FLT18,run-06,1.0,0.923345716666366,12,12,12,12,Mandarin
sub-FLT19,run-01,0.8913043478260869,1.0177157913045527,13,9,12,12,Mandarin
sub-FLT19,run-02,0.9791666666666666,1.0829968229172664,12,13,11,12,Mandarin
sub-FLT19,run-03,0.9787234042553191,0.933094299999945,12,11,12,12,Mandarin
sub-FLT19,run-04,1.0,0.962254972339848,12,11,12,12,Mandarin
sub-FLT19,run-05,1.0,0.9096685062495453,12,12,12,12,Mandarin
sub-FLT19,run-06,0.9787234042553191,0.970617187233887,12,13,10,12,Mandarin
sub-FLT20,run-01,0.34782608695652173,0.9863375673913929,7,26,8,5,non-Mandarin
sub-FLT20,run-02,0.7916666666666666,1.2180266229167198,12,12,11,13,non-Mandarin
sub-FLT20,run-03,0.9787234042553191,1.160482823404117,12,11,12,12,non-Mandarin
sub-FLT20,run-04,0.9583333333333334,1.0820658999997097,13,11,12,12,non-Mandarin
sub-FLT20,run-05,0.9361702127659575,1.1084706255319459,14,12,10,11,non-Mandarin
sub-FLT20,run-06,0.8478260869565217,1.0933416891302445,15,12,11,8,non-Mandarin
sub-FLT21,run-01,0.782608695652174,1.1226247239164482,12,14,7,12,Mandarin
sub-FLT21,run-02,0.9787234042553191,0.8835962021307266,12,13,10,12,Mandarin
sub-FLT21,run-03,0.9583333333333334,0.8486119979206705,12,14,10,12,Mandarin
sub-FLT21,run-04,1.0,0.8431129374876036,12,12,12,12,Mandarin
sub-FLT21,run-05,0.9583333333333334,0.907772672920449,11,13,11,13,Mandarin
sub-FLT21,run-06,1.0,0.9156362191536167,12,12,12,11,Mandarin
sub-FLT22,run-01,1.0,0.8338054957452226,11,12,12,12,Mandarin
sub-FLT22,run-02,1.0,0.7662827166668649,12,12,12,12,Mandarin
sub-FLT22,run-03,1.0,0.7959057187489028,12,12,12,12,Mandarin
sub-FLT22,run-04,1.0,0.7500589312495928,12,12,12,12,Mandarin
sub-FLT22,run-05,1.0,0.7536486148928042,12,12,11,12,Mandarin
sub-FLT22,run-06,1.0,0.7391030458329624,12,12,12,12,Mandarin
sub-FLT23,run-01,1.0,0.800547508333087,12,12,12,12,Mandarin
sub-FLT23,run-02,0.9791666666666666,0.8130759041666048,13,11,12,12,Mandarin
sub-FLT23,run-03,1.0,0.9226389673917963,12,12,11,11,Mandarin
sub-FLT23,run-04,0.9375,0.9565333624997644,12,12,11,13,Mandarin
sub-FLT23,run-05,1.0,0.8164315520834862,12,12,12,12,Mandarin
sub-FLT23,run-06,1.0,0.9138999021277104,12,11,12,12,Mandarin
sub-FLT24,run-01,0.9523809523809523,1.1029736738058826,11,10,10,11,Mandarin
sub-FLT24,run-02,0.9148936170212766,1.0097185021410002,11,11,12,13,Mandarin
sub-FLT24,run-03,0.9574468085106383,1.005144127656983,12,10,12,13,Mandarin
sub-FLT24,run-04,0.9791666666666666,0.9956221770892929,13,11,12,12,Mandarin
sub-FLT24,run-05,0.9791666666666666,0.9703467958315741,12,12,11,13,Mandarin
sub-FLT24,run-06,1.0,1.0268276770924178,12,12,12,12,Mandarin
sub-FLT25,run-01,0.2619047619047619,1.2943851071509667,9,14,15,4,non-Mandarin
sub-FLT25,run-02,0.3191489361702128,1.154311478737385,7,13,21,6,non-Mandarin
sub-FLT25,run-03,0.391304347826087,1.2356983260757735,10,19,13,4,non-Mandarin
